Part;Value;Device;Package;Description
ADS1115-CURRENT-A;;PINHD-1X10;1X10;PIN HEADER
ADS1115-CURRENT-B;;PINHD-1X10;1X10;PIN HEADER
ADS1115-VOLTAGE-3;;PINHD-1X10;1X10;PIN HEADER
B1;MB2S;MB2S;SOIC-4;Bridge Rectifier
B2;MB2S;MB2S;SOIC-4;Bridge Rectifier
B3;MB2S;MB2S;SOIC-4;Bridge Rectifier
B4;MB2S;MB2S;SOIC-4;Bridge Rectifier
K1;JJM1-12V;JJM1-12V;JJM1C;HALF-SIZE AUTOMOTIVE RELAY NAiS
K2;JJM1-12V;JJM1-12V;JJM1C;HALF-SIZE AUTOMOTIVE RELAY NAiS
K3;JJM1-12V;JJM1-12V;JJM1C;HALF-SIZE AUTOMOTIVE RELAY NAiS
OK1;PC817;PC817;DIL04;SHARP OPTO COUPLER
OK2;PC817;PC817;DIL04;SHARP OPTO COUPLER
OK3;PC817;PC817;DIL04;SHARP OPTO COUPLER
OK4;PC817;PC817;DIL04;SHARP OPTO COUPLER
OK5;PC817;PC817;DIL04;SHARP OPTO COUPLER
OK6;PC817;PC817;DIL04;SHARP OPTO COUPLER
OK7;PC817;PC817;DIL04;SHARP OPTO COUPLER
R1*;100;R-EU_M0805;M0805;RESISTOR, European symbol
R2*;100;R-EU_M0805;M0805;RESISTOR, European symbol
R3*;100;R-EU_M0805;M0805;RESISTOR, European symbol
R4*;100;R-EU_M0805;M0805;RESISTOR, European symbol
R5;10k;R-EU_M0805;M0805;RESISTOR, European symbol
R6;10k;R-EU_M0805;M0805;RESISTOR, European symbol
R7;10k;R-EU_M0805;M0805;RESISTOR, European symbol
R8;1k;R-EU_M0805;M0805;RESISTOR, European symbol
R13;4M7;R-EU_M0805;M0805;RESISTOR, European symbol
R14;4M7;R-EU_M0805;M0805;RESISTOR, European symbol
R15;4M7;R-EU_M0805;M0805;RESISTOR, European symbol
R16;4M7;R-EU_M0805;M0805;RESISTOR, European symbol
R17;10k;R-EU_M0805;M0805;RESISTOR, European symbol
R18;10k;R-EU_M0805;M0805;RESISTOR, European symbol
R19;10k;R-EU_M0805;M0805;RESISTOR, European symbol
R20;10k;R-EU_M0805;M0805;RESISTOR, European symbol
SAL1;;W237-103;W237-103;WAGO SCREW CLAMP
SAL2;;W237-103;W237-103;WAGO SCREW CLAMP
SAL3;;W237-103;W237-103;WAGO SCREW CLAMP
SCT-N;;S02P;S02P;AMP MT CONNECTOR
SCT-R;;S02P;S02P;AMP MT CONNECTOR
SCT-S;;S02P;S02P;AMP MT CONNECTOR
SCT-T;;S02P;S02P;AMP MT CONNECTOR
TEMP;;S03P;S03P;AMP MT CONNECTOR
U1;;ESP12SMD;ESP12-SMD;ESP8266 Wifi module 12
UIN;;W237-05P;W237-5P;WAGO SREW CLAMP
VCC;;S02P;S02P;AMP MT CONNECTOR
VDD;;S02P;S02P;AMP MT CONNECTOR
